,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
207,41.342534,7.249289,-0.224373,0.161138,0.118437,7.080171,-3.065862,-0.454531,16.023612
208,41.542256,7.251409,-0.189527,0.180623,0.032023,7.067360,-2.817899,0.089404,16.023612
209,41.741978,7.251187,-0.150979,0.197158,-0.047741,7.069890,-2.578255,-0.042338,16.023612
210,41.941701,7.248800,-0.109028,0.214641,-0.120778,7.068691,-2.305943,-0.186933,16.023612
211,42.141423,7.244446,-0.063315,0.234061,-0.186198,7.063388,-1.998999,-0.343564,16.023612
212,42.341146,7.238334,-0.013676,0.251224,-0.243112,7.053606,-1.669904,-0.514837,16.023612
213,42.540868,7.230736,0.038221,0.254577,-0.290656,7.038948,-1.336236,-0.710569,16.023612
214,42.740590,7.222069,0.087411,0.230752,-0.328087,7.019043,-0.991175,-0.940282,16.023612
215,42.940313,7.212831,0.127472,0.178070,-0.354902,6.993605,-0.604398,-1.189965,16.023612
216,43.140035,7.203313,0.154985,0.114255,-0.370757,6.962390,-0.168945,-1.424732,16.023612
217,43.339757,7.193544,0.171528,0.066496,-0.375182,6.925074,-0.185899,1.518212,16.023612
218,43.539480,7.183424,0.182232,0.050418,-0.380163,6.965756,-0.310203,3.437323,16.023612
219,43.739202,7.172879,0.192852,0.060576,-0.388672,7.060047,-0.257006,3.106488,16.023612
220,43.938925,7.161969,0.207103,0.083709,-0.395821,7.146453,-0.182258,2.759302,16.023612
221,44.138647,7.150729,0.227143,0.117317,-0.400963,7.224298,-0.086083,2.372078,16.023612
222,44.338369,7.139112,0.255994,0.165651,-0.403449,7.292814,0.027585,1.995651,16.023612
223,44.538092,7.127323,0.295651,0.214389,-0.402642,7.351186,0.162998,1.687619,16.023612
224,44.737814,7.116020,0.340918,0.232151,-0.398040,7.398834,0.333009,1.425900,16.023612
225,44.937537,7.105824,0.381473,0.203999,-0.389417,7.435759,0.537750,1.131155,16.023612
226,45.137259,7.096811,0.410511,0.140123,-0.376765,7.462372,0.755695,0.755071,16.023612
227,45.336981,7.088698,0.426105,0.057547,-0.360126,7.478998,0.840638,3.511637,16.023612
228,45.536704,7.081104,0.428292,-0.028087,-0.341939,7.554970,0.801309,2.978789,16.023612
229,45.736426,7.073743,0.417568,-0.107522,-0.324231,7.620798,0.759890,2.397224,16.023612
230,45.936148,7.066514,0.394262,-0.179651,-0.306820,7.675723,0.718932,1.790652,16.023612
231,46.135871,7.059346,0.358468,-0.242928,-0.289539,7.718766,0.675396,1.166266,16.023612
232,46.335593,7.052147,0.310474,-0.290265,-0.272228,7.748659,0.630915,0.544115,16.023612
233,46.535316,7.044840,0.252422,-0.305476,-0.254732,7.763747,0.598482,-0.055931,16.023612
234,46.735038,7.037520,0.192235,-0.266130,-0.236908,7.762082,0.597265,-0.660742,16.023612
235,46.934760,7.030554,0.144781,-0.171430,-0.218643,7.741875,0.623530,-1.326725,16.023612
236,47.134483,7.024269,0.120294,-0.063836,-0.199919,7.702034,0.656466,-2.054270,16.023612
237,47.334205,7.018715,0.115652,0.011140,-0.180764,7.642094,0.683289,-2.820591,16.023612
238,47.533927,7.013836,0.121857,0.044993,-0.161271,7.561627,0.700714,-3.611035,16.023612
239,47.733650,7.009579,0.131760,0.052859,-0.141570,7.460099,0.707138,-4.414370,16.023612
240,47.933372,7.005902,0.141969,0.050940,-0.121823,7.336829,0.703379,-5.233283,16.023612
241,48.133095,7.002780,0.151545,0.047209,-0.102224,7.191009,0.691185,-6.082767,16.023612
242,48.332817,7.000203,0.160321,0.042666,-0.082993,7.021764,0.670700,-6.971135,16.023612
243,48.532539,6.998158,0.168030,0.036364,-0.064371,6.828215,0.640447,-7.890418,16.023612
244,48.732262,6.996619,0.174363,0.028877,-0.046616,6.609473,0.599468,-8.831039,16.023612
245,48.931984,6.995557,0.179255,0.021761,-0.029995,6.364617,0.547958,-9.791953,16.023612
246,49.131707,6.994935,0.182911,0.016214,-0.014777,6.092673,0.487399,-10.780167,16.023612
247,49.331429,6.994713,0.185610,0.011471,-0.001223,5.792896,0.420604,-11.783042,16.023612
248,49.531151,6.994841,0.187237,0.004646,0.010459,5.465610,0.350267,-12.787758,16.023612
249,49.730874,6.995265,0.187145,-0.006373,0.020160,5.111438,0.279082,-13.774690,16.023612
250,49.930596,6.995928,0.184471,-0.022109,0.027868,4.731015,0.210161,-14.717785,16.023612
251,50.130318,6.996777,0.178368,-0.041589,0.033667,4.324934,0.147170,-15.596078,16.023612
252,50.330041,6.997765,0.168279,-0.062895,0.037736,3.893715,0.094231,-16.414737,16.023612
253,50.529763,6.998849,0.153943,-0.084760,0.040353,3.437805,0.055301,-17.165342,16.023612
254,50.729486,6.999999,0.135334,-0.104996,0.041900,2.957584,8.490813,0.205593,16.023612
255,50.929208,7.004567,0.113070,-0.119277,0.281650,2.963389,7.522469,-0.566566,16.023612
256,51.128930,7.015626,0.088644,-0.124756,0.495684,2.947269,6.611939,-1.287650,16.023612
257,51.328653,7.032473,0.063824,-0.122298,0.684461,2.910505,5.753318,-1.963848,16.023612
258,51.528375,7.054338,0.039979,-0.115248,0.848571,2.854488,4.930688,-2.597185,16.023612
259,51.728098,7.080448,0.017674,-0.107456,0.988714,2.780669,4.132257,-3.185818,16.023612
260,51.927820,7.110082,-0.003179,-0.100886,1.105652,2.690514,3.355510,-3.728842,16.023612
261,52.127542,7.142560,-0.022812,-0.095016,1.200178,2.585472,2.602315,-4.228233,16.023612
262,52.327265,7.177219,-0.041206,-0.088302,1.273113,2.466967,1.873641,-4.686267,16.023612
263,52.526987,7.213417,-0.058068,-0.079785,1.325315,2.336400,1.169226,-5.103627,16.023612
264,52.726709,7.250546,-0.073003,-0.069257,1.357676,2.195148,0.488411,-5.476663,16.023612
265,52.926432,7.288064,-0.085721,-0.058249,1.371106,2.044551,-0.167663,-5.800601,16.023612
266,53.126154,7.325501,-0.096393,-0.049029,1.366521,1.885905,-0.796839,-6.078204,16.023612
267,53.325877,7.362399,-0.105454,-0.041947,1.344832,1.720469,-1.398147,-6.313443,16.023612
268,53.525599,7.398312,-0.113247,-0.036196,1.306963,1.549466,-1.971560,-6.509716,16.023612
269,53.725321,7.432806,-0.119916,-0.030412,1.253849,1.374095,-2.515395,-6.663269,16.023612
270,53.925044,7.465505,-0.125383,-0.024492,1.186438,1.195522,-3.024585,-6.764225,16.023612
271,54.124766,7.496110,-0.129830,-0.020579,1.105667,1.014886,-3.498349,-6.815723,16.023612
272,54.324489,7.524326,-0.133820,-0.019810,1.012464,0.833301,0.169457,-3.774756,16.023612
273,54.524211,7.551284,-0.137872,-0.020715,1.016966,0.733014,-0.190723,-3.752558,16.023612
274,54.723933,7.578118,-0.142053,-0.020716,1.011921,0.633753,-0.796831,-3.693400,16.023612
