%time,field.data
5981306000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981306000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981306000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981323000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981340000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981357000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981357000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981374000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981391000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981425000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981425000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981425000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981442000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981442000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981459000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981476000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981510000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981510000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981510000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981527000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981544000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 7.0, "rc_age_ms": 7.0, "n_wpnts": 80}
5981561000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 7.0, "rc_age_ms": 7.0, "n_wpnts": 80}
5981578000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981578000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981612000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 45.0, "rc_age_ms": 45.0, "n_wpnts": 80}
